index	frame_id	xray_file_base_name	photo_file_name	specimen_position_in_frame	field_id	individual_id	xray_preprocessor_name	xray_preprocessed	xray_cropped_individual	photo_processor_name	is_photo_rearranged_relative_to_xray	photo_cropped-scaled	landmarks_registering_photo_to_xray	photo_warped	xray_postprocessor_name	xray_accentuated-edges	xray_accentuated-skeleton	xray_overalayed_accentuated-edges-skeleton	xray_overlayed_on_warped_photo	notes_file_processing
41	11	sde_xray_011	20241211_140915.jpg	1	Sde-C-0125-E	Sde-CMat_121	Chris Bird	sde_xray_011_bckgrnd-despeck-inv-scaled.tif												
42	11	sde_xray_011	20241211_140915.jpg	2	NA	Sde-AMat_067	Chris Bird	sde_xray_011_bckgrnd-despeck-inv-scaled.tif												
43	11	sde_xray_011	20241211_140915.jpg	3	Sde-C-0120-E	Sde-CMat_116	Chris Bird	sde_xray_011_bckgrnd-despeck-inv-scaled.tif												
44	11	sde_xray_011	20241211_140915.jpg	4	NA	Sde-AMat_080	Chris Bird	sde_xray_011_bckgrnd-despeck-inv-scaled.tif												
45	12	sde_xray_012	20241211_141935.jpg	1	Sde-C-0113-E	Sde-CMat_109	Chris Bird	sde_xray_012_bckgrnd-despeck-inv-scaled.tif												
46	12	sde_xray_012	20241211_141935.jpg	2	NA	Sde-AMat_068	Chris Bird	sde_xray_012_bckgrnd-despeck-inv-scaled.tif												
47	12	sde_xray_012	20241211_141935.jpg	3	Sde-C-0135-E	Sde-CMat_131	Chris Bird	sde_xray_012_bckgrnd-despeck-inv-scaled.tif												
48	12	sde_xray_012	20241211_141935.jpg	4	NA	Sde-AMat_051	Chris Bird	sde_xray_012_bckgrnd-despeck-inv-scaled.tif												
49	13	sde_xray_013	20241211_142635.jpg	1	Sde-C-0143-E	Sde-CMat_139	Chris Bird	sde_xray_013_bckgrnd-despeck-inv-scaled.tif												
50	13	sde_xray_013	20241211_142635.jpg	2	NA	Sde-AMat_052	Chris Bird	sde_xray_013_bckgrnd-despeck-inv-scaled.tif												
51	13	sde_xray_013	20241211_142635.jpg	3	Sde-C-0121-E	Sde-CMat_117	Chris Bird	sde_xray_013_bckgrnd-despeck-inv-scaled.tif												
52	13	sde_xray_013	20241211_142635.jpg	4	NA	Sde-AMat_076	Chris Bird	sde_xray_013_bckgrnd-despeck-inv-scaled.tif												
53	14	sde_xray_014	20241211_143322.jpg	1	Sde-C-0117-E	Sde-CMat_113	Chris Bird	sde_xray_014_bckgrnd-despeck-inv-scaled.tif												
54	14	sde_xray_014	20241211_143322.jpg	2	NA	Sde-AMat_079	Chris Bird	sde_xray_014_bckgrnd-despeck-inv-scaled.tif												
55	14	sde_xray_014	20241211_143322.jpg	3	Sde-C-0104-E	Sde-CMat_100	Chris Bird	sde_xray_014_bckgrnd-despeck-inv-scaled.tif												
56	14	sde_xray_014	20241211_143322.jpg	4	NA	Sde-AMat_069	Chris Bird	sde_xray_014_bckgrnd-despeck-inv-scaled.tif												
57	15	sde_xray_015	20241211_144030.jpg	1	Sde-C-0101-E	Sde-CMat_097	Chris Bird	sde_xray_015_bckgrnd-despeck-inv-scaled.tif												
58	15	sde_xray_015	20241211_144030.jpg	2	NA	Sde-AMat_054	Chris Bird	sde_xray_015_bckgrnd-despeck-inv-scaled.tif												
59	15	sde_xray_015	20241211_144030.jpg	3	Sde-C-0140-E	Sde-CMat_136	Chris Bird	sde_xray_015_bckgrnd-despeck-inv-scaled.tif												
60	15	sde_xray_015	20241211_144030.jpg	4	NA	Sde-AMat_053	Chris Bird	sde_xray_015_bckgrnd-despeck-inv-scaled.tif												
61	16	sde_xray_016	20241211_145136.jpg	1	Sde-C-0147-E	Sde-CMat_143	Chris Bird	sde_xray_016_bckgrnd-despeck-inv-scaled.tif												
62	16	sde_xray_016	20241211_145136.jpg	2	NA	Sde-AMat_070	Chris Bird	sde_xray_016_bckgrnd-despeck-inv-scaled.tif												
63	16	sde_xray_016	20241211_145136.jpg	3	Sde-C-0144-E	Sde-CMat_140	Chris Bird	sde_xray_016_bckgrnd-despeck-inv-scaled.tif												
64	16	sde_xray_016	20241211_145136.jpg	4	NA	Sde-AMat_078	Chris Bird	sde_xray_016_bckgrnd-despeck-inv-scaled.tif												
65	17	sde_xray_017	20241211_150003.jpg	1	Sde-C-0114-E	Sde-CMat_110	Chris Bird	sde_xray_017_bckgrnd-despeck-inv-scaled.tif												
66	17	sde_xray_017	20241211_150003.jpg	2	NA	Sde-AMat_049	Chris Bird	sde_xray_017_bckgrnd-despeck-inv-scaled.tif												
67	17	sde_xray_017	20241211_150003.jpg	3	Sde-C-0150-E	Sde-CMat_146	Chris Bird	sde_xray_017_bckgrnd-despeck-inv-scaled.tif												
68	17	sde_xray_017	20241211_150003.jpg	4	NA	Sde-AMat_066	Chris Bird	sde_xray_017_bckgrnd-despeck-inv-scaled.tif												
69	18	sde_xray_018	20241211_150553.jpg	1	Sde-C-0112-E	Sde-CMat_108	Chris Bird	sde_xray_018_bckgrnd-despeck-inv-scaled.tif												
70	18	sde_xray_018	20241211_150553.jpg	2	NA	Sde-AMat_062	Chris Bird	sde_xray_018_bckgrnd-despeck-inv-scaled.tif												
71	18	sde_xray_018	20241211_150553.jpg	3	Sde-C-0137-E	Sde-CMat_133	Chris Bird	sde_xray_018_bckgrnd-despeck-inv-scaled.tif												
72	18	sde_xray_018	20241211_150553.jpg	4	NA	Sde-AMat_073	Chris Bird	sde_xray_018_bckgrnd-despeck-inv-scaled.tif												
73	19	sde_xray_019	20241211_151123.jpg	1	Sde-C-0123-E	Sde-CMat_119	Chris Bird	sde_xray_019_bckgrnd-despeck-inv-scaled.tif												
74	19	sde_xray_019	20241211_151123.jpg	2	NA	Sde-AMat_090	Chris Bird	sde_xray_019_bckgrnd-despeck-inv-scaled.tif												
75	19	sde_xray_019	20241211_151123.jpg	3	Sde-C-0110-E	Sde-CMat_106	Chris Bird	sde_xray_019_bckgrnd-despeck-inv-scaled.tif												
76	19	sde_xray_019	20241211_151123.jpg	4	NA	Sde-AMat_061	Chris Bird	sde_xray_019_bckgrnd-despeck-inv-scaled.tif												
77	20	sde_xray_020	20241211_151552.jpg	1	Sde-C-0108-E	Sde-CMat_104	Chris Bird	sde_xray_020_bckgrnd-despeck-inv-scaled.tif	sde_xray_020-1_Sde-CMat_104.tif	Myron Baring										
