sample_id,site,LM1-4,LM4-5,LM5-6,LM6-11,LM7-11,LM7-9,LM9-10,LM1-10,LM1-2,LM2-3,LM6-10,LM6-9,LM11-17,LM7-12,LM6-12,LM7-14,LM9-13,LM9-14,LM12-14,LM13-14,LM12-15,LM12-13,LM14-18,LM13-16,LM13-15,LM14-15,LM15-16,LM6-15,LM16-18,LM17-18,LM17-19,LM16-19,LM18-19,LM15-20,LM11-20,LM17-20
Sde-CMat_183 ,Matnog,90.68812890191307,149.94057803746787,142.06262221868917,86.7674554899474,113.629103551555,169.859844644813,196.15500883548705,236.9126434339248,120.85182880986947,144.9516756947984,315.1710456615582,277.1781101599656,1300.1917248657217,412.9530851531806,474.8393443192551,522.2369456239188,749.3939272574338,641.0990232199078,328.45488589407523,267.09245653892964,636.7176332191843,207.5222836624779,817.7491202632077,559.8233993659429,439.3580317705026,436.0866099540892,153.505598617412,1080.9621128948877,246.66994489659672,97.02588084959604,99.02082158940114,192.2952928651403,132.49199618754332,164.70793078671102,914.5234716505094,385.6713011944239
Sde-AMat_048 ,Matnog,100.55179285388208,156.5937144544761,160.6689839416743,100.76888362942202,118.56321763704794,178.73460883133407,208.88588733059493,280.44046454778953,142.76395574773068,160.88159172599583,359.2779786375029,335.14067693507457,1596.87931325732,553.5965934990298,584.025927834116,655.0241561855564,913.9576321188198,767.0661833519518,384.46682538654755,333.291339550385,780.7508340579855,230.56696244249736,1011.7614912922115,704.850168253339,564.0191868094205,562.3428313913942,167.39409025362892,1323.1552642513045,312.4599403562158,110.04417209720846,125.79127927706301,260.51435514729314,158.398918384691,193.08917388670451,1130.691505306487,466.2072146134591
Sde-CMat_161 ,Matnog,87.94540002666426,124.85075233081297,137.26686947767115,87.05345184770098,113.08750593805672,146.80275475565847,183.90152128321282,217.8438270609934,111.79586107513104,131.40070840752722,307.8814149606306,268.0484095625266,1209.003945515154,418.9279037918697,460.4300574285741,512.2250694007956,714.1192800518692,620.1339564042595,323.4942568099161,279.53513169038337,732.5164646721875,176.41338295650917,757.34990088846,644.222119661604,565.6445734838796,543.4488082872573,105.60856177928937,1166.3692774382564,183.09136775186866,100.3378601500452,92.38875787264385,76.59739782192345,131.30647139817597,272.1149504547665,866.8662982793599,342.3251518384968
Sde-AMat_044 ,Matnog,91.42410662970683,159.92047884786362,144.85963417132467,102.08007146274926,118.37358705598137,186.2416990542397,213.97190289007574,245.41395292323952,137.02306909604678,137.55238227820706,360.3857543714651,326.0790959620227,1499.6265008843036,452.328157649908,500.12400178861645,583.874849080657,817.4665101944789,710.7682564530087,358.3728757174571,283.95924663847455,779.1964334214063,224.99345344807253,982.030018506914,715.4290674212572,566.9916575190944,532.3951032632062,179.2051752879921,1246.7850811904752,311.646941865647,122.21069538256465,113.18921281646071,234.35905724014603,152.9641510035603,208.8092769009318,1036.256055687787,463.3756814534076
Sde-CMat_148 ,Matnog,102.60829224317108,141.9357830980264,158.48782093839267,92.45357445491226,112.38655993320555,168.92706136368443,206.73007621500074,248.0066553757177,138.45942601794937,141.463941923375,347.6015392660108,302.6634645222975,1492.0769343511245,497.405419787139,531.3201972760776,650.3621306306586,854.8827900661294,762.594434059966,398.3601746815186,329.9888154654488,813.1795729516083,225.56919647859718,925.183875087115,709.6211738328348,603.7486762766109,551.8743684907735,139.60155178868908,1307.3003437429556,277.0267246426777,113.52295167502483,119.2871929020043,193.32974372185967,157.31954964088223,240.65901073321567,1065.3600371779157,426.75794880887696
Sde-CMat_162 ,Matnog,89.1258458740224,136.6232130830263,134.87385311986907,85.4208658235796,86.6685624727329,156.37652874373447,182.3840753005865,218.46913456234495,113.18055175638612,138.40146789774306,311.5780897540294,257.9511680028218,1337.5855202260077,429.7932197436809,464.191212389248,820.5047736237492,755.5921399230474,925.8064122807208,535.4154362865904,371.02752818680443,733.1154312335882,206.95262756604473,591.094403116152,577.776800969795,536.3092584013816,254.69116847525353,73.01521124813664,1163.766174011502,277.82075130911295,94.67193958090226,109.74735671532146,233.87562453844993,150.1642631887161,204.45793590604399,964.487168617022,373.09837840038915
Sde-CMat_159 ,Matnog,73.13756340766352,133.54608840639995,137.4654722106246,73.5812325068016,98.44314734342868,146.05560025339662,171.96423669181914,196.69186359676905,103.39136034239031,123.29294884834249,304.54569411108076,254.4035837216921,1166.8831497095587,389.39388186843667,402.288829206641,479.3079584424299,670.2121135963524,584.201091521002,313.97582831234,265.1878126261461,685.3786328887194,165.8761753442007,737.74872259804,616.5175462228467,527.5950305114803,498.1609573770408,113.08263625194634,1057.1404363564568,199.2079200007871,88.53218486657825,96.57231540255214,117.98506343109717,132.14607362596897,230.68023218258202,831.8384858687713,335.11925438603197
Sde-CMat_163 ,Matnog,85.3172969347365,134.21983268131427,133.6413204702797,78.4641559726478,93.61043291861226,133.8435215842739,182.66379313788488,203.28505479055758,115.08552419361874,127.138529591505,304.21507614713965,250.9370076094995,1214.5494173288173,408.15917387755724,434.8510993369799,513.6418575261366,665.6233081955364,603.6007948527736,304.6560836177246,252.46625608981887,700.2969250092777,152.73882191047576,765.6668036587521,641.9931745129771,554.2957266601376,509.1232234675216,114.40765451769387,1109.4938563104754,214.8540126599687,96.38173684163407,86.31870525650847,123.94573468159355,133.48966004634963,220.70817588301986,876.6221769842011,338.62149656111626
sde_xray_049b-1 ,Matnog,95.54216125737368,149.102615948212,161.22896943914884,94.68097120329934,104.73029570100529,169.04317378211402,213.22726861949437,245.50831054740283,140.5659724409147,138.29238545082663,347.56485988465516,305.3103485047469,1486.1060006783534,490.21190138544154,522.712036487022,651.381497589738,838.105046664796,755.1476156223761,400.5195028607721,331.272971807179,728.3621115864623,217.93026563091243,917.0312678646294,668.5765341516931,529.1847778243532,465.3130084397492,173.03173558269592,1213.360571801161,303.0590237643484,109.26954594583974,113.87164090154334,240.09247551724746,151.2261132377606,168.14955640310214,1057.122635846816,429.03427833730257
sde_xray_049b-2 ,Matnog,81.2176093270419,140.05343815647655,139.50283893243895,83.43828044399044,87.5112206851213,150.55587215196888,182.74166013728234,219.83105590798584,112.55641897732885,135.10510208174972,312.0352518575105,256.5048998396912,1329.1238252827236,436.48738574847727,462.57470530232195,419.3459365473093,758.5600356611533,520.6352110296228,300.7706355545368,331.0170697511082,664.1867443491552,208.71771097137398,969.9752991222044,589.7901578232379,469.50126031034256,582.1794664639161,152.65222407996532,1087.5015025797986,272.7022865535968,94.61041158482512,109.01205335191159,218.4758856048193,148.09411093034728,157.3316625102843,958.9324922117199,370.19133436913387
